Club,GW11,FDR11,Home11,GW12,FDR 12,Home12,GW 13,FDR 13,Home13,GW14,FDR14,Home14,GW15,FDR15,Home15
MCI,SOU,2,H,MUN,4,H,WHU,2,A,BOU,3,H,WAT,3,A
LIV,ARS,4,A,FUL,2,H,WAT,3,A,EVE,2,H,BUR,3,A
CHE,CRY,3,H,EVE,2,H,TOT,4,A,FUL,2,H,WOL,2,A
ARS,LIV,5,H,WOL,2,H,BOU,3,A,TOT,4,H,MUN,4,A
TOT,WOL,2,A,CRY,3,A,CHE,4,H,ARS,4,A,SOU,2,H
BOU,MUN,4,H,NEW,3,A,ARS,4,H,MCI,5,A,HUD,2,H
WAT,NEW,3,A,SOU,2,A,LIV,5,H,LEI,3,A,MCI,5,H
MUN,BOU,3,A,MCI,5,A,CRY,3,H,SOU,2,A,ARS,4,H
EVE,BHA,3,H,CHE,4,A,CAR,2,H,LIV,5,A,NEW,3,H
WOL,TOT,4,H,ARS,4,A,HUD,2,H,CAR,2,A,CHE,4,H
BHA,EVE,2,A,CAR,2,A,LEI,3,H,HUD,2,A,CRY,3,H
LEI,CAR,2,A,BUR,3,H,BHA,3,A,WAT,3,H,FUL,2,A
WHU,BUR,3,H,HUD,2,A,MCI,5,H,NEW,3,A,CAR,2,H
CRY,CHE,4,A,TOT,4,H,MUN,4,A,BUR,3,H,BHA,3,A
BUR,WHU,2,A,LEI,3,A,NEW,3,H,CRY,3,A,LIV,4,H
SOU,MCI,5,A,WAT,3,H,FUL,2,A,MUN,4,H,TOT,4,A
CAR,LEI,3,H,BHA,3,H,EVE,2,A,WOL,2,H,WHU,2,A
FUL,HUD,2,A,LIV,5,A,SOU,2,H,CHE,4,A,LEI,3,H
NEW,WAT,3,H,BOU,3,H,BUR,3,A,WHU,2,H,EVE,2,A
HUD,FUL,2,H,WHU,2,H,WOL,2,A,BHA,3,H,BOU,3,A
